zone,prop_type,listing_type,furnishing,bhk,area,bathrooms,age,amenities_count,floor,total_floors,has_metro,price
Balewadi,apartment,rent,fully-furnished,2,902,2,10,3,9,10,0,48300
Kothrud,apartment,rent,semi-furnished,3,1356,3,11,6,9,9,1,99600
Wagholi,apartment,sale,semi-furnished,1,783,1,18,1,4,10,0,3293600
Undri,apartment,rent,fully-furnished,3,1287,3,23,4,0,10,0,56100
Balewadi,villa,sale,fully-furnished,4,2463,4,8,9,8,10,0,36075800
Bavdhan,villa,sale,unfurnished,1,3490,1,16,1,1,3,0,24124500
Pimpri,house,rent,fully-furnished,3,1317,3,17,3,1,2,0,58100
Koregaon Park,studio,sale,semi-furnished,1,304,1,14,6,1,4,0,4271900
Wakad,house,rent,unfurnished,2,1394,2,13,5,0,2,1,48200
Kalyani Nagar,studio,sale,fully-furnished,1,481,1,16,6,12,20,0,6740900
Kothrud,plot,rent,unfurnished,0,707,1,9,4,0,1,1,28200
Pimpri,apartment,sale,unfurnished,1,685,1,15,1,6,7,0,3481400
Kharadi,house,sale,semi-furnished,2,1081,2,4,6,0,9,1,9890600
Wakad,apartment,rent,fully-furnished,2,1049,2,30,5,1,9,1,50900
Camp,commercial,sale,fully-furnished,0,3985,1,20,4,0,1,0,40183700
Koregaon Park,commercial,rent,fully-furnished,0,3871,1,22,9,0,1,0,496700
Pashan,apartment,rent,unfurnished,2,1424,2,13,6,7,9,0,50800
Balewadi,apartment,rent,fully-furnished,4,1717,4,4,7,3,5,0,171700
Wakad,apartment,rent,semi-furnished,1,815,1,4,2,2,10,1,23800
Hadapsar,apartment,rent,semi-furnished,2,1043,2,7,3,0,6,0,28100
Hinjewadi,apartment,rent,unfurnished,3,1345,3,12,2,4,9,1,60700
Shivajinagar,apartment,rent,fully-furnished,2,1034,2,16,7,7,8,1,58700
Hadapsar,apartment,sale,unfurnished,2,936,2,14,5,1,10,0,4934100
Pimpri,apartment,rent,semi-furnished,2,894,2,26,6,6,11,0,26300
Kalyani Nagar,house,sale,fully-furnished,2,1122,2,2,6,2,3,0,17807700
Hadapsar,apartment,rent,fully-furnished,2,1077,2,4,3,0,3,0,39700
Pimple Saudagar,apartment,sale,fully-furnished,3,1373,3,23,2,10,14,0,10141400
Chinchwad,apartment,rent,fully-furnished,3,1392,3,2,4,3,6,0,64400
Chinchwad,apartment,sale,unfurnished,3,1053,3,8,4,5,9,0,5834200
Kothrud,apartment,rent,semi-furnished,2,918,2,30,0,8,14,1,42800
Undri,house,sale,semi-furnished,1,689,1,21,0,1,6,0,2542100
Hinjewadi,apartment,sale,semi-furnished,1,657,1,1,1,9,14,1,5511800
Camp,apartment,rent,semi-furnished,1,1016,1,7,5,3,10,0,32100
Hinjewadi,house,sale,fully-furnished,3,1274,3,2,5,11,18,1,14498300
Baner,apartment,rent,unfurnished,5,1744,5,22,3,3,7,1,190300
Magarpatta,studio,sale,fully-furnished,1,503,1,9,5,1,3,0,4653900
Koregaon Park,apartment,sale,fully-furnished,3,1223,3,3,10,11,14,0,26601000
Koregaon Park,plot,rent,semi-furnished,0,3791,1,31,10,0,1,0,231400
Kondhwa,studio,rent,unfurnished,1,372,1,17,0,2,16,0,13000
Kondhwa,apartment,rent,semi-furnished,2,530,2,5,3,0,2,0,19800
Pimple Saudagar,apartment,sale,semi-furnished,2,1067,2,1,2,3,18,0,9014900
Chinchwad,apartment,sale,unfurnished,2,622,2,29,3,7,9,0,2397000
Kothrud,studio,sale,unfurnished,1,467,1,16,9,6,7,1,5215400
Undri,apartment,sale,unfurnished,1,820,1,28,3,0,3,0,2929200
Pimpri,apartment,sale,unfurnished,2,1164,2,30,3,6,10,0,4328200
Aundh,apartment,sale,semi-furnished,3,1420,3,17,2,12,12,1,13219300
Pimple Saudagar,plot,sale,semi-furnished,0,4287,1,25,2,0,1,0,17364800
Baner,house,rent,fully-furnished,1,801,1,13,5,1,18,1,24100
Chinchwad,apartment,rent,semi-furnished,4,1681,4,8,5,5,11,0,88800
Hinjewadi,studio,rent,fully-furnished,1,470,1,10,5,2,2,1,18900
Koregaon Park,apartment,sale,semi-furnished,3,1131,3,16,2,1,2,0,15482500
Kalyani Nagar,villa,rent,semi-furnished,2,3487,2,15,6,3,10,0,596200
Kothrud,house,rent,semi-furnished,4,1574,4,10,5,0,3,1,136400
Hinjewadi,apartment,sale,unfurnished,2,1174,2,2,1,5,5,1,9416800
Bavdhan,apartment,sale,unfurnished,2,825,2,12,4,0,7,0,4742200
Magarpatta,apartment,rent,semi-furnished,3,1205,3,9,5,11,11,0,79300
Baner,apartment,rent,semi-furnished,3,1260,3,25,6,2,5,1,79900
Undri,studio,rent,fully-furnished,1,475,1,4,0,1,12,0,12500
Pimple Saudagar,villa,sale,semi-furnished,2,3191,2,8,0,1,17,0,23090800
Balewadi,villa,rent,semi-furnished,2,3529,2,3,3,6,12,0,904500
Wanowrie,apartment,rent,semi-furnished,2,741,2,6,0,1,10,0,23100
Aundh,apartment,rent,unfurnished,3,1112,3,25,6,11,16,1,63600
Aundh,villa,rent,semi-furnished,1,3190,1,12,5,15,16,1,785200
Wakad,apartment,rent,unfurnished,2,996,2,29,5,7,7,1,31300
Koregaon Park,house,rent,unfurnished,3,1267,3,7,6,7,7,0,102300
Kharadi,apartment,sale,unfurnished,2,791,2,1,1,10,10,1,6935000
Hadapsar,apartment,rent,fully-furnished,2,1065,2,27,5,0,8,0,37200
Viman Nagar,house,sale,fully-furnished,4,1722,4,19,8,2,7,1,24745600
Camp,studio,sale,fully-furnished,1,608,1,24,5,2,2,0,5827500
Kharadi,villa,rent,unfurnished,2,2054,2,20,4,3,9,1,243300
Viman Nagar,commercial,sale,fully-furnished,0,2736,1,12,8,0,1,1,36707300
Koregaon Park,apartment,rent,semi-furnished,2,760,2,24,7,8,10,0,52100
Pimple Saudagar,apartment,sale,fully-furnished,2,1098,2,0,1,0,10,0,9335300
Baner,apartment,sale,semi-furnished,4,1777,4,30,6,2,3,1,17295600
Magarpatta,apartment,sale,semi-furnished,5,1827,5,20,4,6,7,0,19489300
Kothrud,apartment,rent,semi-furnished,2,750,2,10,3,6,15,1,35500
Viman Nagar,apartment,rent,unfurnished,3,1389,3,28,9,12,17,1,92500
Viman Nagar,apartment,rent,fully-furnished,3,1274,3,17,6,1,20,1,101600
Wakad,apartment,sale,fully-furnished,2,994,2,7,5,7,8,1,10830500
Boat Club Road,apartment,sale,semi-furnished,2,806,2,4,3,15,15,0,12826100
Wakad,apartment,sale,fully-furnished,3,1154,3,8,3,1,12,1,13184000
Hinjewadi,apartment,sale,unfurnished,2,1007,2,31,4,0,5,1,5429100
Wagholi,apartment,sale,semi-furnished,2,1104,2,29,3,2,11,0,4613400
Pisoli,studio,sale,fully-furnished,1,483,1,12,3,6,11,0,3456600
Aundh,apartment,sale,fully-furnished,4,1691,4,26,3,6,9,1,18256300
Undri,house,sale,semi-furnished,2,1101,2,28,0,8,10,0,4366900
Wanowrie,apartment,sale,unfurnished,2,962,2,9,1,0,3,0,5817900
Shivajinagar,studio,sale,semi-furnished,1,527,1,21,9,11,11,1,5960200
Shivajinagar,apartment,rent,semi-furnished,2,918,2,23,5,4,4,1,49400
Aundh,house,sale,unfurnished,3,1235,3,16,2,5,7,1,12184500
Bavdhan,apartment,sale,semi-furnished,1,1142,1,18,2,0,13,0,6139100
Aundh,apartment,rent,fully-furnished,5,2029,5,18,4,0,4,1,276700
Pimple Saudagar,apartment,sale,semi-furnished,3,1125,3,3,6,2,3,0,10751800
Wakad,house,sale,semi-furnished,3,1222,3,17,2,5,12,1,9219200
Balewadi,apartment,sale,fully-furnished,2,1185,2,28,4,0,2,0,7114600
Pimple Saudagar,apartment,sale,unfurnished,3,793,3,24,2,0,7,0,4127000
Wanowrie,studio,rent,unfurnished,1,489,1,27,2,5,5,0,12200
Baner,apartment,rent,semi-furnished,3,1306,3,23,3,10,10,1,79600
Viman Nagar,villa,sale,semi-furnished,4,2846,4,6,8,7,15,1,42191200
Balewadi,house,rent,unfurnished,3,1362,3,18,2,11,11,0,65400
Hinjewadi,apartment,sale,unfurnished,2,1036,2,16,5,6,15,1,5942100
Bavdhan,villa,sale,semi-furnished,2,3105,2,1,4,6,9,0,36276300
Magarpatta,apartment,sale,fully-furnished,2,883,2,19,3,14,17,0,7759400
Baner,plot,rent,fully-furnished,0,1650,1,8,8,0,1,1,86500
Magarpatta,villa,sale,semi-furnished,2,3685,2,6,4,1,15,0,40881900
Kalyani Nagar,apartment,sale,unfurnished,1,918,1,4,5,14,15,0,10990300
Baner,plot,sale,semi-furnished,0,3054,1,1,6,0,1,1,23042900
Wagholi,apartment,rent,unfurnished,2,828,2,3,3,0,5,0,22200
Wakad,commercial,rent,semi-furnished,0,1204,1,5,5,0,1,1,89900
Kalyani Nagar,apartment,rent,unfurnished,2,1087,2,5,6,2,4,0,60900
Wagholi,studio,sale,unfurnished,1,513,1,29,3,7,12,0,1733900
Kalyani Nagar,studio,sale,fully-furnished,1,421,1,10,8,16,16,0,7903300
Undri,apartment,rent,semi-furnished,2,787,2,7,5,0,12,0,21300
Undri,apartment,rent,semi-furnished,2,819,2,2,1,3,7,0,25000
Pimpri,plot,rent,fully-furnished,0,3525,1,17,4,0,1,0,92500
Koregaon Park,apartment,sale,semi-furnished,2,828,2,18,6,7,7,0,10477200
Koregaon Park,commercial,sale,semi-furnished,0,5843,1,2,8,0,1,0,110899500
Koregaon Park,commercial,rent,semi-furnished,0,5019,1,27,5,0,1,0,1202300
Baner,apartment,sale,unfurnished,1,383,1,13,6,2,2,1,3539500
Shivajinagar,villa,sale,fully-furnished,4,1961,4,23,4,13,13,1,25551100
Pimple Saudagar,apartment,rent,semi-furnished,3,1164,3,11,1,0,11,0,56500
Kalyani Nagar,commercial,sale,semi-furnished,0,722,1,21,9,0,1,0,8620300
Kothrud,plot,sale,semi-furnished,0,3377,1,19,6,0,1,1,26870800
Aundh,apartment,sale,fully-furnished,5,1768,5,26,3,6,10,1,22532100
Wakad,plot,sale,unfurnished,0,3257,1,26,4,0,1,1,11712800
Chinchwad,apartment,sale,unfurnished,3,1149,3,12,1,0,15,0,5771900
Baner,apartment,sale,semi-furnished,3,1396,3,10,10,0,7,1,16989100
Viman Nagar,apartment,sale,fully-furnished,2,928,2,0,5,7,17,1,12326100
Wagholi,studio,rent,semi-furnished,1,451,1,12,3,3,8,0,14300
Wakad,apartment,sale,unfurnished,2,976,2,25,5,1,15,1,5398700
Aundh,studio,sale,semi-furnished,1,520,1,27,6,4,12,1,3455600
Wagholi,apartment,sale,unfurnished,1,384,1,0,1,4,9,0,1778600
Viman Nagar,villa,sale,fully-furnished,3,3129,3,17,8,0,6,1,43651800
Hinjewadi,house,sale,fully-furnished,3,982,3,15,1,7,9,1,8782200
Wakad,apartment,sale,unfurnished,4,1446,4,28,4,2,2,1,11025800
Hinjewadi,apartment,sale,semi-furnished,3,1016,3,19,5,3,17,1,8740600
Camp,commercial,sale,fully-furnished,0,3308,1,12,4,0,1,0,39834000
Koregaon Park,apartment,sale,unfurnished,3,985,3,4,6,3,7,0,14831500
Hinjewadi,plot,rent,fully-furnished,0,4929,1,12,0,0,1,1,150900
Koregaon Park,commercial,rent,fully-furnished,0,2997,1,12,10,0,1,0,576400
Undri,apartment,sale,unfurnished,2,969,2,11,2,3,13,0,4401000
Hinjewadi,villa,sale,semi-furnished,3,1200,3,16,2,5,5,1,12310400
Magarpatta,studio,sale,semi-furnished,1,496,1,3,3,12,18,0,5521600
Pimple Saudagar,apartment,rent,semi-furnished,1,624,1,25,6,11,11,0,16800
Wanowrie,apartment,sale,semi-furnished,2,673,2,26,6,1,2,0,4715000
Bavdhan,plot,sale,semi-furnished,0,3249,1,14,4,0,1,0,16813200
Baner,apartment,rent,semi-furnished,4,1595,4,12,7,5,14,1,157500
Pashan,studio,rent,unfurnished,1,402,1,1,2,14,16,0,12900
Chinchwad,apartment,rent,unfurnished,1,667,1,4,2,4,6,0,12200
Hadapsar,house,rent,semi-furnished,1,967,1,13,1,1,2,0,12600
Hinjewadi,villa,rent,semi-furnished,3,3073,3,16,4,15,17,1,519500
Kharadi,apartment,rent,semi-furnished,2,949,2,22,7,5,9,1,43500
Hinjewadi,apartment,sale,semi-furnished,5,1632,5,24,5,6,6,1,16363300
Kharadi,apartment,rent,semi-furnished,1,491,1,27,6,6,6,1,14200
Magarpatta,villa,sale,fully-furnished,2,1516,2,17,4,8,12,0,18129200
Shivajinagar,apartment,sale,semi-furnished,1,861,1,22,4,5,5,1,9123400
Baner,house,sale,unfurnished,2,1131,2,11,4,2,14,1,9520100
Pimple Saudagar,plot,sale,fully-furnished,0,992,1,25,3,0,1,0,4146500
Pimpri,house,rent,unfurnished,2,969,2,23,3,4,4,0,26800
Pimple Saudagar,studio,rent,unfurnished,1,300,1,31,2,1,2,0,7000
Aundh,house,sale,fully-furnished,2,610,2,1,7,10,13,1,7789200
Shivajinagar,studio,rent,fully-furnished,1,490,1,7,6,5,16,1,37200
Aundh,apartment,rent,unfurnished,4,1461,4,24,2,4,12,1,114800
Balewadi,house,sale,semi-furnished,2,960,2,14,0,3,13,0,6924100
Koregaon Park,apartment,rent,semi-furnished,3,1499,3,14,5,3,7,0,121800
Viman Nagar,apartment,rent,fully-furnished,2,1176,2,25,5,11,13,1,57500
Koregaon Park,apartment,rent,fully-furnished,4,1740,4,7,8,7,7,0,244300
Kalyani Nagar,apartment,sale,semi-furnished,3,1184,3,25,6,10,20,0,13157000
Pimpri,apartment,sale,unfurnished,2,1060,2,9,1,4,4,0,5435800
Hadapsar,studio,sale,semi-furnished,1,418,1,19,0,14,16,0,1922700
Kalyani Nagar,studio,rent,fully-furnished,1,342,1,23,6,0,2,0,30500
Pimpri,commercial,rent,fully-furnished,0,4624,1,13,0,0,1,0,471500
Koregaon Park,apartment,sale,unfurnished,1,770,1,27,7,3,6,0,6994000
Pimpri,commercial,rent,fully-furnished,0,3524,1,10,4,0,1,0,243700
Camp,apartment,sale,unfurnished,3,1161,3,16,7,1,10,0,10807100
Chinchwad,apartment,rent,fully-furnished,2,956,2,16,0,5,11,0,25000
Undri,villa,rent,fully-furnished,2,3756,2,20,3,1,6,0,343800
Kharadi,house,sale,unfurnished,2,1629,2,6,2,0,3,1,10460900
Koregaon Park,apartment,sale,unfurnished,3,978,3,0,10,4,6,0,15696500
Chinchwad,apartment,rent,fully-furnished,2,804,2,3,4,2,2,0,32800
Wakad,apartment,rent,unfurnished,2,1255,2,22,3,3,8,1,27400
Baner,apartment,sale,semi-furnished,1,441,1,25,7,2,10,1,3505000
Kalyani Nagar,house,sale,fully-furnished,3,1500,3,1,6,7,10,0,28504400
Hinjewadi,commercial,sale,semi-furnished,0,3309,1,28,4,0,1,1,14726200
Koregaon Park,commercial,sale,semi-furnished,0,1997,1,2,5,0,1,0,28156200
Shivajinagar,studio,sale,fully-furnished,1,585,1,4,7,13,14,1,9550200
Viman Nagar,apartment,rent,semi-furnished,2,1045,2,7,10,6,7,1,59300
Wanowrie,apartment,sale,semi-furnished,2,941,2,16,7,0,2,0,6504700
Viman Nagar,villa,rent,semi-furnished,2,2765,2,1,7,10,15,1,842500
Hadapsar,apartment,sale,fully-furnished,2,933,2,19,2,14,15,0,6218800
Pimple Saudagar,villa,sale,semi-furnished,2,3355,2,16,2,3,9,0,28026400
Magarpatta,apartment,rent,semi-furnished,3,989,3,15,3,2,8,0,58700
Pimpri,apartment,rent,fully-furnished,3,1041,3,21,5,6,15,0,53500
Hinjewadi,commercial,rent,fully-furnished,0,3860,1,19,2,0,1,1,366300
Magarpatta,apartment,sale,semi-furnished,3,1529,3,13,3,0,2,0,12987200
Hinjewadi,apartment,rent,semi-furnished,1,787,1,12,2,6,13,1,21800
Baner,apartment,rent,unfurnished,2,908,2,24,1,9,9,1,35100
Baner,commercial,sale,semi-furnished,0,4492,1,25,2,0,1,1,39704300
Kharadi,apartment,rent,semi-furnished,3,1454,3,5,9,6,10,1,89100
Camp,commercial,sale,semi-furnished,0,4250,1,18,7,0,1,0,52440200
Balewadi,apartment,rent,unfurnished,3,1457,3,8,8,1,2,0,80200
Undri,commercial,sale,unfurnished,0,5682,1,21,4,0,1,0,32983100
Wakad,apartment,rent,semi-furnished,4,1746,4,9,5,9,15,1,132400
Shivajinagar,apartment,rent,semi-furnished,3,1441,3,20,6,3,9,1,110100
Pimple Saudagar,studio,sale,semi-furnished,1,656,1,9,5,0,5,0,5177500
Hadapsar,apartment,rent,unfurnished,2,955,2,17,4,10,13,0,28800
Kothrud,apartment,sale,fully-furnished,2,671,2,23,4,0,12,1,5204800
Balewadi,commercial,sale,fully-furnished,0,2708,1,28,7,0,1,0,33713500
Balewadi,apartment,rent,semi-furnished,3,1695,3,10,3,7,15,0,92000
Pimple Saudagar,studio,rent,unfurnished,1,445,1,10,4,1,3,0,16900
Kharadi,apartment,sale,fully-furnished,1,601,1,17,7,4,13,1,5083800
Viman Nagar,apartment,sale,semi-furnished,4,1722,4,2,8,9,9,1,29454200
Magarpatta,apartment,sale,fully-furnished,3,1408,3,31,4,0,12,0,11674900
Kharadi,commercial,rent,unfurnished,0,2508,1,18,4,0,1,1,286900
Kharadi,house,rent,semi-furnished,2,961,2,8,4,12,12,1,35200
Bavdhan,apartment,sale,semi-furnished,3,1327,3,11,5,0,3,0,10346400
Hinjewadi,apartment,rent,fully-furnished,2,1201,2,1,6,13,22,1,53800
Camp,apartment,sale,semi-furnished,3,1356,3,8,5,2,2,0,14493200
Pashan,apartment,rent,unfurnished,2,1402,2,28,7,0,4,0,46800
Kharadi,commercial,sale,fully-furnished,0,3195,1,12,6,0,1,1,33990600
Baner,apartment,sale,unfurnished,3,1301,3,14,3,8,8,1,12591200
Shivajinagar,studio,rent,semi-furnished,1,473,1,11,7,13,15,1,24900
Kharadi,house,sale,semi-furnished,1,1006,1,17,2,7,9,1,7140300
Pisoli,apartment,sale,fully-furnished,1,580,1,1,3,3,11,0,3597400
Chinchwad,villa,sale,unfurnished,2,2362,2,29,2,2,2,0,11055000
Aundh,studio,sale,unfurnished,1,479,1,27,9,6,6,1,3921000
Koregaon Park,villa,sale,semi-furnished,2,3736,2,19,4,11,12,0,52122500
Shivajinagar,apartment,sale,fully-furnished,3,1345,3,2,7,9,17,1,21472800
Kothrud,studio,sale,semi-furnished,1,401,1,7,6,0,3,1,4090600
Baner,apartment,rent,semi-furnished,2,1040,2,11,4,1,2,1,38300
Kondhwa,apartment,rent,unfurnished,4,1364,4,12,5,3,9,0,79600
Hadapsar,apartment,rent,fully-furnished,2,1133,2,0,4,6,7,0,36200
Balewadi,apartment,rent,fully-furnished,3,1377,3,24,5,7,13,0,89500
Aundh,apartment,rent,fully-furnished,3,1418,3,2,7,0,9,1,104100
Pimpri,plot,rent,semi-furnished,0,660,1,27,0,0,1,0,21200
Koregaon Park,house,rent,fully-furnished,1,759,1,2,9,9,9,0,44000
Wakad,apartment,rent,fully-furnished,3,1352,3,15,2,13,13,1,81400
Wakad,studio,rent,semi-furnished,1,469,1,21,0,8,13,1,21700
Kharadi,commercial,rent,semi-furnished,0,5215,1,23,8,0,1,1,475800
Pashan,studio,sale,unfurnished,1,623,1,14,8,1,3,0,5903400
Camp,apartment,rent,semi-furnished,3,1384,3,29,5,9,11,0,93400
Wakad,apartment,rent,unfurnished,4,1935,4,7,8,7,18,1,143400
Baner,plot,rent,unfurnished,0,3638,1,10,5,0,1,1,115200
Pisoli,apartment,rent,unfurnished,3,1355,3,22,4,4,12,0,42800
Kalyani Nagar,apartment,sale,fully-furnished,3,1272,3,17,5,2,4,0,17213300
Pimple Saudagar,apartment,sale,unfurnished,2,988,2,23,3,7,7,0,5436200
Hinjewadi,apartment,sale,unfurnished,2,917,2,4,3,13,14,1,8101400
Viman Nagar,villa,sale,unfurnished,3,2733,3,16,3,9,11,1,30189500
Hadapsar,apartment,sale,semi-furnished,3,1639,3,7,4,4,4,0,12810400
Chinchwad,plot,sale,unfurnished,0,2753,1,15,4,0,1,0,14108700
Pashan,studio,sale,fully-furnished,1,537,1,26,3,4,7,0,4024000
Pisoli,house,sale,fully-furnished,2,952,2,27,5,2,2,0,5223100
Viman Nagar,villa,sale,unfurnished,2,3109,2,21,6,7,16,1,37323300
Wakad,house,sale,fully-furnished,4,1842,4,28,3,0,7,1,15721100
Koregaon Park,apartment,sale,semi-furnished,3,1430,3,9,9,12,12,0,25942700
Baner,apartment,rent,unfurnished,2,1025,2,26,6,6,11,1,43100
Koregaon Park,house,rent,semi-furnished,3,1649,3,12,7,5,7,0,152100
Pimple Saudagar,studio,rent,unfurnished,1,378,1,14,4,4,10,0,16900
Koregaon Park,apartment,rent,semi-furnished,3,1030,3,14,6,7,17,0,95400
Balewadi,apartment,sale,fully-furnished,2,903,2,16,5,4,11,0,7639600
Magarpatta,commercial,sale,unfurnished,0,360,1,31,3,0,1,0,2256800
